pm2_5,city,co,pm10,level,o3,spider,so2,crawl_time,date,aqi,no2
28,白城,0.4,33,优,46,,6,,2016-09-02,40,12
36,白城,0.6,68,良,94,,5,,2016-08-02,59,16
36,白城,0.6,52,良,95,,8,,2016-07-02,52,22
41,白城,0.6,54,良,133,,5,,2016-06-02,78,14
44,白城,0.7,61,良,92,,8,,2016-05-02,62,24
24,白城,0.5,84,良,52,,6,,2016-04-02,67,10
62,白城,0.9,86,良,62,,30,,2016-03-02,84,29
48,白城,0.7,66,良,68,,26,,2016-02-02,67,21
200,白城,1.8,232,重度污染,34,,42,,2016-01-02,250,53
94,白城,0.9,122,轻度污染,28,,38,,2015-12-02,124,14
46,白城,0.6,57,良,58,,8,,2015-09-02,64,12
60,白城,0.5,84,良,95,,12,,2015-08-02,82,10
36,白城,0.3,46,良,73,,2,,2015-07-02,51,9
26,白城,0.3,44,优,85,,6,,2015-06-02,44,19
66,白城,0.4,97,良,111,,4,,2015-05-02,89,19
61,白城,0.3,90,良,78,,21,,2015-04-02,82,30
43,白城,0.6,51,良,78,,37,,2015-03-02,60,21
16,保定,0.5,56,良,111,,11,,2016-04-02,60,27
78,保定,1.9,130,轻度污染,87,,84,,2016-03-02,104,78
152,保定,4,196,重度污染,56,,119,,2016-02-02,202,98
395,保定,7.5,517,严重污染,18,,138,,2016-01-02,430,180
80,保定,1.8,154,轻度污染,51,,43,,2015-12-02,107,44
76,保定,1.5,147,轻度污染,48,,54,,2015-11-02,102,79
38,保定,0.6,101,良,94,,17,,2015-10-02,76,50
17,保定,0.3,36,优,81,,9,,2015-09-02,41,22
87,保定,1.2,152,轻度污染,91,,20,,2015-08-02,115,38
110,白城,1,150,轻度污染,31,,57,,2015-02-03,144,45
65,白城,0.8,97,良,33,,40,,2015-02-04,87,31
56,白城,0.9,90,良,40,,57,,2015-01-03,77,21
45,保定,0.9,115,良,129,,27,,2014-06-03,82,35
58,保定,1.2,133,轻度污染,170,,55,,2014-06-04,109,34
45,保定,0.9,211,轻度污染,78,,22,,2014-05-03,130,27
46,保定,0.5,139,良,86,,33,,2014-04-03,95,34
232,保定,4.6,364,重度污染,37,,94,,2014-03-03,282,98
44,保定,1.5,116,良,68,,44,,2014-02-03,83,28
201,保定,4.4,347,重度污染,30,,111,,2014-01-03,251,97
37,北海,1.4,60,良,130,,11,,2014-10-03,75,15
7,北海,1.1,20,优,63,,8,,2014-09-03,32,10
6,北海,0.8,25,优,72,,15,,2014-08-03,36,8
8,北海,1.1,36,优,52,,9,,2014-07-03,36,5
8,北海,1.3,31,优,92,,11,,2014-06-03,46,9
27,北海,1.2,55,良,132,,10,,2014-05-03,77,7
24,北海,1.6,62,良,60,,14,,2014-04-03,56,14
39,北海,1.5,68,良,35,,9,,2014-03-03,59,7
18,保定,0.5,45,良,131,,15,,2015-07-02,76,33
20,北海,1.6,46,优,64,,8,,2014-02-03,46,11
94,北海,1.3,123,轻度污染,121,,17,,2014-01-03,124,21
101,安阳,2.1,144,轻度污染,58,,65,,2014-03-04,133,48
68,安阳,2.5,42,良,55,,24,,2014-02-05,92,21
105,安阳,3.5,97,轻度污染,32,,69,,2014-02-06,138,46
97,安阳,3.2,151,轻度污染,51,,104,,2014-01-03,128,74
160,安阳,5.7,218,重度污染,44,,108,,2013-12-02,210,97
142,安阳,4.5,175,中度污染,94,,65,,2013-11-03,189,67
0,安阳,2.3,194,轻度污染,193,,74,,2013-10-03,130,70
0,安阳,2.7,114,轻度污染,202,,61,,2013-09-03,139,50
3,安阳,1.3,90,中度污染,160,,21,,2013-08-03,182,30
3,安阳,1.3,149,轻度污染,0,,16,,2013-07-03,121,34
3,安阳,1.8,100,轻度污染,0,,46,,2013-06-03,113,39
105,保定,2.8,187,轻度污染,27,,95,,2013-12-05,137,81
101,北海,1.5,133,轻度污染,127,,20,,2013-12-05,132,30
3,安阳,1.7,0,优,0,,0,,2013-05-16,44,0
50,白城,0.6,64,良,47,,10,,2016-11-03,69,24
26,白城,0.5,43,优,60,,2,,2016-10-03,43,15
58,白城,0.8,76,轻度污染,172,,6,,2016-09-03,111,14
37,白城,0.7,62,良,111,,4,,2016-08-03,60,13
43,白城,0.7,71,良,136,,8,,2016-07-03,80,22
42,白城,0.6,64,良,130,,6,,2016-06-03,75,18
40,白城,0.6,92,良,94,,6,,2016-05-03,71,20
22,白城,0.5,48,优,56,,5,,2016-04-03,48,12
69,白城,0.8,88,良,84,,37,,2016-03-03,93,24
34,白城,0.4,48,优,73,,16,,2016-02-03,49,15
134,白城,1.4,154,中度污染,36,,36,,2016-01-03,178,34
35,白城,0.5,78,良,32,,20,,2015-12-03,64,7
32,白城,0.4,49,优,70,,6,,2015-09-03,49,16
38,白城,0.3,58,良,66,,11,,2015-09-04,54,12
39,白城,0.5,54,良,76,,6,,2015-08-03,55,12
28,白城,0.3,44,优,82,,3,,2015-07-03,44,11
25,白城,0.3,51,优,95,,8,,2015-06-03,50,19
56,白城,0.2,119,良,94,,3,,2015-05-03,85,13
67,白城,0.2,89,良,90,,8,,2015-04-03,90,22
48,白城,0.5,125,良,97,,33,,2015-03-03,87,13
47,白城,0.6,85,良,91,,50,,2015-03-04,67,25
23,保定,0.5,62,良,113,,12,,2016-04-03,61,25
145,保定,2.8,224,中度污染,102,,98,,2016-03-03,193,91
183,保定,4.5,228,重度污染,52,,114,,2016-02-03,233,105
122,保定,3.2,159,中度污染,55,,97,,2016-02-04,160,84
282,保定,6.3,405,严重污染,10,,72,,2016-01-03,332,130
154,保定,3.5,237,重度污染,34,,73,,2016-01-04,204,72
24,保定,0.9,50,优,63,,29,,2015-12-03,50,24
89,保定,1.5,158,轻度污染,73,,54,,2015-11-03,118,94
51,保定,1,126,良,99,,19,,2015-10-03,88,66
18,保定,0.4,32,优,76,,10,,2015-09-03,38,26
89,保定,1.4,174,轻度污染,66,,23,,2015-08-03,118,32
35,白城,0.5,70,良,43,,40,,2015-02-05,60,17
95,白城,0.9,128,轻度污染,43,,48,,2015-01-04,125,26
67,保定,1.3,150,轻度污染,192,,47,,2014-06-05,129,27
27,保定,0.4,119,良,79,,3,,2014-05-04,84,14
37,保定,0.7,225,轻度污染,81,,19,,2014-04-04,137,29
127,保定,3.5,232,中度污染,54,,90,,2014-03-04,168,75
56,保定,1.9,106,良,71,,56,,2014-02-04,78,32
